Year,GDP_Growth,Unemployment,CPI_Inflation,Fed_Funds_Rate,M1_Growth
1995,2.7,5.6,2.8,5.5,0.9
1996,3.8,5.4,3.0,5.3,-1.6
1997,4.4,4.9,2.3,5.5,0.3
1998,4.5,4.5,1.6,5.4,1.5
1999,4.8,4.2,2.2,5.0,2.1
2000,4.1,4.0,3.4,6.2,-2.6
2001,1.0,4.7,2.8,3.9,8.7
2002,1.8,5.8,1.6,1.7,8.1
2003,2.9,6.0,2.3,1.1,7.0
